time_ps,mlp_force_sum,mha_force_sum,conv_force_sum,comb_force_sum,MACE_force_sum
0.085,3.199632e-07,2.6543419e-06,2.2120196e-06,1.1861174e-06,1.434348424823e-14
0.0855,3.0784245e-06,2.7323322e-06,2.4267658e-06,3.897615e-06,3.1421469200065623e-15
0.086,1.1011747e-06,2.0656391e-06,4.8682473e-06,1.7489673e-06,8.992806499463768e-15
0.0865,2.0600417e-06,2.2923707e-06,2.1446415e-06,1.0115243e-06,7.191854738971276e-15
0.087,1.7124183e-06,2.0827306e-06,3.2441462e-06,1.0323828e-06,8.594015490521135e-15
0.0875,1.8078715e-06,3.0478088e-06,2.2614936e-06,8.34465e-07,1.3278193111899531e-14
0.088,1.4192574e-06,3.204408e-06,4.924762e-06,2.6848568e-06,6.818839423932375e-15
0.0885,1.7180051e-06,2.7703738e-06,4.669963e-06,1.5266238e-06,8.226520376308076e-15
0.089,2.6544255e-06,2.0281461e-06,3.1687312e-06,2.689484e-06,7.56989756821848e-15
0.0895,1.7243065e-06,2.2011518e-06,1.8115218e-06,1.5542989e-06,8.817715292004272e-15
0.09,1.204145e-06,3.7157713e-06,2.1829596e-06,2.8931286e-06,7.023641503345142e-15
0.0905,1.909185e-06,1.3598126e-06,3.863758e-06,2.1622607e-06,1.2426813154338287e-14
0.091,3.5655913e-07,1.0054696e-06,1.1861174e-06,1.6869272e-06,1.1143924098000667e-14
0.0915,1.2050839e-06,2.40274e-06,8.405959e-07,1.8659206e-06,1.0018647899075038e-14
0.092,1.718615e-06,9.92026e-07,2.2726133e-06,1.1182823e-06,8.252325904466732e-16
0.0925,2.0324285e-06,4.6915607e-06,1.3168835e-06,3.1652255e-06,5.881301029635769e-15
0.093,5.360277e-07,4.360991e-06,2.0499253e-06,2.523889e-06,7.464959971954173e-15
0.0935,2.2317693e-06,1.2534924e-06,4.456757e-06,2.4138042e-06,1.0607860012589812e-14
0.094,5.428708e-07,2.311938e-06,1.6829904e-06,4.266627e-06,1.0773168553431315e-14
0.0945,1.65757e-06,1.8719945e-06,5.45934e-06,9.405454e-07,7.81150584804298e-15
0.095,1.8306761e-06,3.1888571e-06,3.5554672e-06,1.9956433e-06,4.626114302741661e-15
0.0955,2.6668604e-06,3.0172553e-06,1.37874e-06,2.4784354e-06,9.465587277121543e-15
0.096,9.4812845e-07,6.99254e-07,3.148917e-07,7.633119e-07,1.1398049408937715e-14
0.0965,8.32e-07,1.196926e-06,2.736101e-06,1.4155319e-06,9.53471691886431e-15
0.097,1.0605241e-06,3.8194673e-07,1.9935874e-06,2.0440136e-06,6.971679053177347e-15
0.0975,1.3504267e-06,2.153424e-06,1.9868933e-06,8.8608675e-07,1.3893017262441986e-14
0.098,9.578561e-07,2.7039757e-06,1.9494662e-06,5.0170684e-06,4.2891121259284976e-15
0.0985,2.4335015e-06,1.5034858e-06,1.475215e-06,4.6567975e-06,4.990140660236864e-15
0.099,3.0026856e-06,1.058566e-06,4.5727934e-06,2.1883916e-06,1.2540145989865064e-14
0.0995,2.7016035e-06,1.9497188e-06,2.0105285e-06,1.847744e-06,5.8289352121036535e-15
0.1,8.9645687e-07,3.0049496e-06,1.9032442e-06,2.9706803e-06,5.243380125655269e-15
0.1005,1.9106346e-06,3.3213214e-06,1.1326414e-06,1.0254771e-06,2.1794631652767695e-14
0.101,7.8652164e-07,7.115597e-07,1.3369796e-06,1.8235514e-06,8.225021920853694e-15
0.1015,2.1941169e-06,3.8755124e-06,9.907382e-07,1.0254771e-06,5.597894330829748e-15
0.102,1.3338204e-06,2.1505252e-06,2.752039e-06,1.5172866e-06,1.54758927135126e-14
0.1025,2.2082897e-06,3.6741033e-06,1.3605013e-06,2.125806e-06,1.2601795501688307e-14
0.103,1.1139055e-06,2.9004968e-06,2.5418167e-06,4.430434e-06,9.74647619424468e-15
0.1035,6.6079554e-07,1.9550073e-06,1.3739e-06,2.2774902e-06,1.0926111987381854e-14
0.104,1.3694888e-06,2.1619653e-06,3.815345e-06,2.2618372e-06,3.018602284648458e-15
0.1045,1.8017623e-06,2.532192e-06,1.6756354e-06,1.6603933e-06,1.4977727461875691e-15
0.105,2.0560499e-06,3.1775483e-06,3.3632089e-06,2.999245e-06,1.3601931266464164e-14
0.1055,1.1852982e-06,2.7982858e-06,1.6007655e-06,3.2450337e-06,1.0245680415511355e-14
0.106,1.9307931e-06,9.032811e-07,2.6730872e-06,3.0862316e-06,5.644968245070423e-15
0.1065,2.6287355e-06,3.5340029e-06,2.9404885e-06,3.3442402e-06,8.638764066754565e-15
